,metagenome_id,Domain,Phylum,Class,Order,Family,Genus,Species
159,2199352035_9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
160,2209111003_3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
161,2209111003_4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
162,2209111006_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
163,2209111006_2,1.0,1.0,1.0,1.0,1.0,0.0,0.0
164,2225789003_4,1.0,1.0,1.0,1.0,1.0,0.0,0.0
165,2225789004_10,1.0,1.0,1.0,1.0,1.0,0.0,0.0
166,2225789004_11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
167,2225789004_12,1.0,1.0,1.0,1.0,1.0,0.0,0.0
168,2225789004_15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
169,2225789004_17,1.0,1.0,1.0,0.0,0.0,0.0,0.0
170,2225789004_18,1.0,1.0,1.0,1.0,1.0,0.0,0.0
171,2225789004_28,1.0,1.0,1.0,1.0,1.0,0.0,0.0
172,2225789004_5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
173,2225789004_9,1.0,1.0,1.0,1.0,1.0,0.0,0.0
174,2228664000_9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
175,2228664008_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,2228664011_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
177,2236876025_10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,2236876025_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,2236876025_14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,2236876025_17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
181,2236876025_21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
182,2236876025_22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
183,2236876025_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184,3300000024_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
185,3300000030_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
186,3300000032_17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
187,3300000032_18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
188,3300000032_19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
189,3300000032_23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
190,3300000032_25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
191,3300000032_28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
192,3300000032_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
193,3300000036_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
194,3300000036_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
195,3300000036_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
196,3300000041_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
197,3300000041_2,1.0,1.0,1.0,1.0,1.0,0.0,0.0
198,3300000042_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
199,3300000042_2,1.0,1.0,1.0,1.0,1.0,0.0,0.0
200,3300000043_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
201,3300000044_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
202,3300000045_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
203,3300000052_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204,3300000052_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
205,3300000052_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
206,3300000059_10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
